Batang_stok,Panjang_stok_mm,ID_potongan,Panjang_potongan_mm,Sumber,Kg_stok_1.6_sekali_per_batang,Kg_stok_2.0_sekali_per_batang,Kg_stok_2.3_sekali_per_batang,Alokasi_kg_potongan_2.3
39,6000,1686900,4849.0001,Revit,22.61,28.26,32.5,27.302928345385926
39,6000,1690358,922.9999,Revit,,,,5.197071654614076
40,6000,1686906,4849.0001,Revit,22.61,28.26,32.5,27.302928345385926
40,6000,1690361,922.9999,Revit,,,,5.197071654614076
41,6000,1686912,4849.0001,Revit,22.61,28.26,32.5,26.336965623870807
41,6000,1690227,874.0,Revit,,,,4.747062673204111
41,6000,1685492S1,260.7,Usulan tangga,,,,1.4159717029250836
42,6000,1686918,4849.0001,Revit,22.61,28.26,32.5,26.336965623870807
42,6000,1690230,874.0,Revit,,,,4.747062673204111
42,6000,1685502S0,260.7,Usulan tangga,,,,1.4159717029250836
43,6000,1690062,4849.0001,Revit,22.61,28.26,32.5,26.336965623870807
43,6000,1690232,874.0,Revit,,,,4.747062673204111
43,6000,1685502S1,260.7,Usulan tangga,,,,1.4159717029250836
44,6000,1690064,4849.0001,Revit,22.61,28.26,32.5,26.336965623870807
44,6000,1690241,874.0,Revit,,,,4.747062673204111
44,6000,1685524S0,260.7,Usulan tangga,,,,1.4159717029250836
45,6000,1690074,4849.0001,Revit,22.61,28.26,32.5,26.336965623870807
45,6000,1690244,874.0,Revit,,,,4.747062673204111
45,6000,1685524S1,260.7,Usulan tangga,,,,1.4159717029250836
46,6000,1690076,4849.0001,Revit,22.61,28.26,32.5,26.336965623870807
46,6000,1690246,874.0,Revit,,,,4.747062673204111
46,6000,1685536S0,260.7,Usulan tangga,,,,1.4159717029250836
47,6000,1690087,4849.0001,Revit,22.61,28.26,32.5,26.336965623870807
47,6000,1690249,874.0,Revit,,,,4.747062673204111
47,6000,1685536S1,260.7,Usulan tangga,,,,1.4159717029250836
48,6000,1690100,4849.0001,Revit,22.61,28.26,32.5,26.336965623870807
48,6000,1690252,874.0,Revit,,,,4.747062673204111
48,6000,1685564S0,260.7,Usulan tangga,,,,1.4159717029250836
49,6000,1690102,4849.0001,Revit,22.61,28.26,32.5,26.336965623870807
49,6000,1690254,874.0,Revit,,,,4.747062673204111
49,6000,1685564S1,260.7,Usulan tangga,,,,1.4159717029250836
50,6000,1690112,4849.0001,Revit,22.61,28.26,32.5,26.336965623870807
50,6000,1690256,874.0,Revit,,,,4.747062673204111
50,6000,1685576S0,260.7,Usulan tangga,,,,1.4159717029250836
51,6000,1690114,4849.0001,Revit,22.61,28.26,32.5,26.336965623870807
51,6000,1690258,874.0,Revit,,,,4.747062673204111
51,6000,1685576S1,260.7,Usulan tangga,,,,1.4159717029250836
52,6000,1685454,4754.0,Revit,22.61,28.26,32.5,26.072393369761542
52,6000,1690260,874.0,Revit,,,,4.793283773586575
52,6000,1687999,297.9999,Revit,,,,1.6343228566518793
53,6000,1685460,4754.0,Revit,22.61,28.26,32.5,26.072393369761542
53,6000,1690262,874.0,Revit,,,,4.793283773586575
53,6000,1688008,297.9999,Revit,,,,1.6343228566518793
54,6000,1685463,4754.0,Revit,22.61,28.26,32.5,26.237539832436553
54,6000,1690264,874.0,Revit,,,,4.823645154246144
54,6000,1685616S0,260.7,Usulan tangga,,,,1.4388150133173019
55,6000,1685467,4754.0,Revit,22.61,28.26,32.5,26.237539832436553
55,6000,1690266,874.0,Revit,,,,4.823645154246144
55,6000,1685616S1,260.7,Usulan tangga,,,,1.4388150133173019
56,6000,1685469,4754.0,Revit,22.61,28.26,32.5,26.237539832436553
56,6000,1690268,874.0,Revit,,,,4.823645154246144
56,6000,1685644S0,260.7,Usulan tangga,,,,1.4388150133173019
57,6000,1685473,4754.0,Revit,22.61,28.26,32.5,26.237539832436553
57,6000,1690270,874.0,Revit,,,,4.823645154246144
57,6000,1685644S1,260.7,Usulan tangga,,,,1.4388150133173019
58,6000,1685484,4754.0,Revit,22.61,28.26,32.5,26.237539832436553
58,6000,1690272,874.0,Revit,,,,4.823645154246144
58,6000,1685656S0,260.7,Usulan tangga,,,,1.4388150133173019
59,6000,1685488,4754.0,Revit,22.61,28.26,32.5,26.237539832436553
59,6000,1690274,874.0,Revit,,,,4.823645154246144
59,6000,1685656S1,260.7,Usulan tangga,,,,1.4388150133173019
60,6000,1690080,4649.0001,Revit,22.61,28.26,32.5,25.251103223830572
60,6000,1690276,874.0,Revit,,,,4.747142012839486
60,6000,1685743S0,460.6,Usulan tangga,,,,2.501754763329939
61,6000,1690089,4649.0001,Revit,22.61,28.26,32.5,25.251103223830572
61,6000,1690278,874.0,Revit,,,,4.747142012839486
61,6000,1685743S1,460.6,Usulan tangga,,,,2.501754763329939
62,6000,1685475,4629.0,Revit,22.61,28.26,32.5,25.226792676237245
62,6000,1690280,874.0,Revit,,,,4.763062452238597
62,6000,1685817S0,460.6,Usulan tangga,,,,2.5101448715241546
63,6000,1685481,4629.0,Revit,22.61,28.26,32.5,25.226792676237245
63,6000,1690282,874.0,Revit,,,,4.763062452238597
63,6000,1685817S1,460.6,Usulan tangga,,,,2.5101448715241546
64,6000,1694637,2593.0,Revit,22.61,28.26,32.5,14.265823673104729
64,6000,1694664,2593.0,Revit,,,,14.265823673104729
64,6000,1685854S0,460.6,Usulan tangga,,,,2.534067977728995
64,6000,1685684S0,260.7,Usulan tangga,,,,1.434284676061548
65,6000,1678295,2481.9878,Revit,22.61,28.26,32.5,13.817221776804951
65,6000,1678298,2481.9878,Revit,,,,13.817221776804951
65,6000,1690284,874.0,Revit,,,,4.865556446390096
66,6000,1678385,2481.9878,Revit,22.61,28.26,32.5,13.817221776804951
66,6000,1678387,2481.9878,Revit,,,,13.817221776804951
66,6000,1690286,874.0,Revit,,,,4.865556446390096
67,6000,1678397,2481.9878,Revit,22.61,28.26,32.5,13.817221776804951
67,6000,1678399,2481.9878,Revit,,,,13.817221776804951
67,6000,1690288,874.0,Revit,,,,4.865556446390096
68,6000,1678411,2481.9878,Revit,22.61,28.26,32.5,13.817221776804951
68,6000,1678421,2481.9878,Revit,,,,13.817221776804951
68,6000,1690290,874.0,Revit,,,,4.865556446390096
69,6000,1678423,2481.9878,Revit,22.61,28.26,32.5,13.817221776804951
69,6000,1678433,2481.9878,Revit,,,,13.817221776804951
69,6000,1690292,874.0,Revit,,,,4.865556446390096
70,6000,1678435,2481.9878,Revit,22.61,28.26,32.5,13.817221776804951
70,6000,1678445,2481.9878,Revit,,,,13.817221776804951
70,6000,1690294,874.0,Revit,,,,4.865556446390096
71,6000,1678447,2481.9878,Revit,22.61,28.26,32.5,13.817221776804951
71,6000,1678459,2481.9878,Revit,,,,13.817221776804951
71,6000,1690296,874.0,Revit,,,,4.865556446390096
72,6000,1678469,2481.9878,Revit,22.61,28.26,32.5,13.817221776804951
72,6000,1678471,2481.9878,Revit,,,,13.817221776804951
72,6000,1690298,874.0,Revit,,,,4.865556446390096
73,6000,1678481,2481.9878,Revit,22.61,28.26,32.5,13.817221776804951
73,6000,1678483,2481.9878,Revit,,,,13.817221776804951
73,6000,1690300,874.0,Revit,,,,4.865556446390096
74,6000,1678493,2481.9878,Revit,22.61,28.26,32.5,13.817221776804951
74,6000,1678495,2481.9878,Revit,,,,13.817221776804951
74,6000,1690302,874.0,Revit,,,,4.865556446390096
75,6000,1682262,2481.9878,Revit,22.61,28.26,32.5,13.817221776804951
75,6000,1682284,2481.9878,Revit,,,,13.817221776804951
75,6000,1690304,874.0,Revit,,,,4.865556446390096
76,6000,1682306,2481.9878,Revit,22.61,28.26,32.5,13.817221776804951
76,6000,1690209,2481.9878,Revit,,,,13.817221776804951
76,6000,1690306,874.0,Revit,,,,4.865556446390096
77,6000,1690213,2481.9878,Revit,22.61,28.26,32.5,13.817221776804951
77,6000,1690217,2481.9878,Revit,,,,13.817221776804951
77,6000,1690308,874.0,Revit,,,,4.865556446390096
78,6000,1690221,2481.9878,Revit,22.61,28.26,32.5,13.817221776804951
78,6000,1690225,2481.9878,Revit,,,,13.817221776804951
78,6000,1690310,874.0,Revit,,,,4.865556446390096
79,6000,1694646,2479.0,Revit,22.61,28.26,32.5,13.824210470988696
79,6000,1694642,2475.0001,Revit,,,,13.801904973841223
79,6000,1690312,874.0,Revit,,,,4.873884555170081
80,6000,1694669,2475.0001,Revit,22.61,28.26,32.5,13.887690121759492
80,6000,1694628,2443.0,Revit,,,,13.708131902829212
80,6000,1690314,874.0,Revit,,,,4.904177975411292
81,6000,1694651,2364.0001,Revit,22.61,28.26,32.5,13.181327391961165
81,6000,1694633,2330.0,Revit,,,,12.991747491270534
81,6000,1690316,874.0,Revit,,,,4.873299129126708
81,6000,1685684S1,260.7,Usulan tangga,,,,1.4536259876415942
82,6000,1694619,2255.0,Revit,22.61,28.26,32.5,12.53935262360761
82,6000,1694655,2255.0,Revit,,,,12.53935262360761
82,6000,1690318,874.0,Revit,,,,4.860041630945476
82,6000,1685854S1,460.6,Usulan tangga,,,,2.5612531218393033
83,6000,1694624,2157.9998,Revit,22.61,28.26,32.5,12.009417589800139
83,6000,1694660,2157.9998,Revit,,,,12.009417589800139
83,6000,1694599,1524.0,Revit,,,,8.481164820399721
84,6000,1678292,1981.9938,Revit,22.61,28.26,32.5,10.833333333333334
84,6000,1678491,1981.9938,Revit,,,,10.833333333333334
84,6000,1690205,1981.9938,Revit,,,,10.833333333333334
85,6000,1678383,1981.9938,Revit,22.61,28.26,32.5,10.833333333333332
85,6000,1678395,1981.9938,Revit,,,,10.833333333333332
85,6000,1678419,1981.9938,Revit,,,,10.833333333333332
