STATUS,Batang_6m,Element_ID,Potong_mm,Kerf_mm
STUDI_BELUM_FABRIKASI,42,1690054,4850,3
STUDI_BELUM_FABRIKASI,42,1690249,874,3
STUDI_BELUM_FABRIKASI,43,1686918,4850,3
STUDI_BELUM_FABRIKASI,43,1690246,874,3
STUDI_BELUM_FABRIKASI,44,1686914,4850,3
STUDI_BELUM_FABRIKASI,44,1690244,874,3
STUDI_BELUM_FABRIKASI,45,1686912,4850,3
STUDI_BELUM_FABRIKASI,45,1690241,874,3
STUDI_BELUM_FABRIKASI,46,1686908,4850,3
STUDI_BELUM_FABRIKASI,46,1690232,874,3
STUDI_BELUM_FABRIKASI,47,1686906,4850,3
STUDI_BELUM_FABRIKASI,47,1690230,874,3
STUDI_BELUM_FABRIKASI,48,1686902,4850,3
STUDI_BELUM_FABRIKASI,48,1690227,874,3
STUDI_BELUM_FABRIKASI,49,1686900,4850,3
STUDI_BELUM_FABRIKASI,49,1690361,923,3
STUDI_BELUM_FABRIKASI,50,1686896,4850,3
STUDI_BELUM_FABRIKASI,50,1690358,923,3
STUDI_BELUM_FABRIKASI,51,1686893,4850,3
STUDI_BELUM_FABRIKASI,51,1690238,923,3
STUDI_BELUM_FABRIKASI,52,1686889,4850,3
STUDI_BELUM_FABRIKASI,52,1690235,923,3
STUDI_BELUM_FABRIKASI,53,1690648,5234,3
STUDI_BELUM_FABRIKASI,54,1690645,5234,3
STUDI_BELUM_FABRIKASI,55,1690642,5234,3
STUDI_BELUM_FABRIKASI,56,1687128,5284,3
STUDI_BELUM_FABRIKASI,56,1686074,87,3
STUDI_BELUM_FABRIKASI,57,1685486,5284,3
STUDI_BELUM_FABRIKASI,57,1686071,87,3
STUDI_BELUM_FABRIKASI,58,1685471,5284,3
STUDI_BELUM_FABRIKASI,58,1686068,87,3
STUDI_BELUM_FABRIKASI,59,1685465,5284,3
STUDI_BELUM_FABRIKASI,59,1686066,87,3
STUDI_BELUM_FABRIKASI,60,1685457,5284,3
STUDI_BELUM_FABRIKASI,60,1688004,266,3
STUDI_BELUM_FABRIKASI,61,1690110,5400,3
STUDI_BELUM_FABRIKASI,62,1690108,5400,3
STUDI_BELUM_FABRIKASI,63,1690098,5400,3
STUDI_BELUM_FABRIKASI,64,1690096,5400,3
STUDI_BELUM_FABRIKASI,65,1690085,5400,3
STUDI_BELUM_FABRIKASI,66,1690083,5400,3
STUDI_BELUM_FABRIKASI,67,1690072,5400,3
STUDI_BELUM_FABRIKASI,68,1690070,5400,3
STUDI_BELUM_FABRIKASI,69,1690060,5400,3
STUDI_BELUM_FABRIKASI,70,1690058,5400,3
STUDI_BELUM_FABRIKASI,71,1686916,5400,3
STUDI_BELUM_FABRIKASI,72,1686910,5400,3
STUDI_BELUM_FABRIKASI,73,1686904,5400,3
STUDI_BELUM_FABRIKASI,74,1686898,5400,3
STUDI_BELUM_FABRIKASI,75,1686891,5400,3
