profil,stok,id,komponen,panjang_mm,status
RHS50x100,44,1682271,X01,982.0059,studi - belum fabrikasi
RHS50x100,45,1690074,X03,4849.0001,studi - belum fabrikasi
RHS50x100,45,1682293,X01,982.0059,studi - belum fabrikasi
RHS50x100,46,1690076,X03,4849.0001,studi - belum fabrikasi
RHS50x100,46,1690197,X01,982.0059,studi - belum fabrikasi
RHS50x100,47,1690087,X03,4849.0001,studi - belum fabrikasi
RHS50x100,47,1690235,B01,922.9999,studi - belum fabrikasi
RHS50x100,48,1690100,X03,4849.0001,studi - belum fabrikasi
RHS50x100,48,1690238,B01,922.9999,studi - belum fabrikasi
RHS50x100,49,1690102,X03,4849.0001,studi - belum fabrikasi
RHS50x100,49,1690358,B01,922.9999,studi - belum fabrikasi
RHS50x100,50,1690112,X03,4849.0001,studi - belum fabrikasi
RHS50x100,50,1690361,B01,922.9999,studi - belum fabrikasi
RHS50x100,51,1690114,X03,4849.0001,studi - belum fabrikasi
RHS50x100,51,1690227,B01,874.0,studi - belum fabrikasi
RHS50x100,51,1688004,X05,265.9999,studi - belum fabrikasi
RHS50x100,52,1685454,X02,4754.0,studi - belum fabrikasi
RHS50x100,52,1690230,B01,874.0,studi - belum fabrikasi
RHS50x100,52,1687999,X05,297.9999,studi - belum fabrikasi
RHS50x100,53,1685460,X02,4754.0,studi - belum fabrikasi
RHS50x100,53,1690232,B01,874.0,studi - belum fabrikasi
RHS50x100,53,1688008,X05,297.9999,studi - belum fabrikasi
RHS50x100,54,1685463,X02,4754.0,studi - belum fabrikasi
RHS50x100,54,1690241,B01,874.0,studi - belum fabrikasi
RHS50x100,54,I1-P11,I01,285,studi - belum fabrikasi
RHS50x100,55,1685467,X02,4754.0,studi - belum fabrikasi
RHS50x100,55,1690244,B01,874.0,studi - belum fabrikasi
RHS50x100,55,1688011,X05,265.9999,studi - belum fabrikasi
RHS50x100,56,1685469,X02,4754.0,studi - belum fabrikasi
RHS50x100,56,1690246,B01,874.0,studi - belum fabrikasi
RHS50x100,56,1685576S0,B02,260.7,studi - belum fabrikasi
RHS50x100,57,1685473,X02,4754.0,studi - belum fabrikasi
RHS50x100,57,1690249,B01,874.0,studi - belum fabrikasi
RHS50x100,57,1685576S1,B02,260.7,studi - belum fabrikasi
RHS50x100,58,1685484,X02,4754.0,studi - belum fabrikasi
RHS50x100,58,1690252,B01,874.0,studi - belum fabrikasi
RHS50x100,58,1685644S0,B02,260.7,studi - belum fabrikasi
RHS50x100,59,1685488,X02,4754.0,studi - belum fabrikasi
RHS50x100,59,1690254,B01,874.0,studi - belum fabrikasi
RHS50x100,59,1685644S1,B02,260.7,studi - belum fabrikasi
RHS50x100,60,1690080,X03,4649.0001,studi - belum fabrikasi
RHS50x100,60,I3-P00,I01,1285,studi - belum fabrikasi
RHS50x100,61,1690089,X03,4649.0001,studi - belum fabrikasi
RHS50x100,61,I3-P01,I01,1285,studi - belum fabrikasi
RHS50x100,62,1685475,X02,4629.0,studi - belum fabrikasi
RHS50x100,62,I3-P10,I01,1285,studi - belum fabrikasi
RHS50x100,63,1685481,X02,4629.0,studi - belum fabrikasi
RHS50x100,63,I3-P11,I01,1285,studi - belum fabrikasi
RHS50x100,64,1694637,X06,2593.0,studi - belum fabrikasi
RHS50x100,64,1694664,X06,2593.0,studi - belum fabrikasi
RHS50x100,64,I1-J0,I03,800.039,studi - belum fabrikasi
RHS50x100,65,1678295,X01,2481.9876,studi - belum fabrikasi
RHS50x100,65,1678298,X01,2481.9876,studi - belum fabrikasi
RHS50x100,65,1690256,B01,874.0,studi - belum fabrikasi
RHS50x100,66,1678385,X01,2481.9876,studi - belum fabrikasi
RHS50x100,66,1678387,X01,2481.9876,studi - belum fabrikasi
RHS50x100,66,1690258,B01,874.0,studi - belum fabrikasi
RHS50x100,67,1678397,X01,2481.9876,studi - belum fabrikasi
RHS50x100,67,1678399,X01,2481.9876,studi - belum fabrikasi
RHS50x100,67,1690260,B01,874.0,studi - belum fabrikasi
RHS50x100,68,1678411,X01,2481.9876,studi - belum fabrikasi
RHS50x100,68,1678421,X01,2481.9876,studi - belum fabrikasi
RHS50x100,68,1690262,B01,874.0,studi - belum fabrikasi
RHS50x100,69,1678423,X01,2481.9876,studi - belum fabrikasi
RHS50x100,69,1678433,X01,2481.9876,studi - belum fabrikasi
RHS50x100,69,1690264,B01,874.0,studi - belum fabrikasi
RHS50x100,70,1678435,X01,2481.9876,studi - belum fabrikasi
RHS50x100,70,1678445,X01,2481.9876,studi - belum fabrikasi
RHS50x100,70,1690266,B01,874.0,studi - belum fabrikasi
RHS50x100,71,1678447,X01,2481.9876,studi - belum fabrikasi
RHS50x100,71,1678459,X01,2481.9876,studi - belum fabrikasi
RHS50x100,71,1690268,B01,874.0,studi - belum fabrikasi
RHS50x100,72,1678469,X01,2481.9876,studi - belum fabrikasi
RHS50x100,72,1678471,X01,2481.9876,studi - belum fabrikasi
RHS50x100,72,1690270,B01,874.0,studi - belum fabrikasi
RHS50x100,73,1678481,X01,2481.9876,studi - belum fabrikasi
RHS50x100,73,1678483,X01,2481.9876,studi - belum fabrikasi
RHS50x100,73,1690272,B01,874.0,studi - belum fabrikasi
RHS50x100,74,1678493,X01,2481.9876,studi - belum fabrikasi
RHS50x100,74,1678495,X01,2481.9876,studi - belum fabrikasi
RHS50x100,74,1690274,B01,874.0,studi - belum fabrikasi
RHS50x100,75,1682262,X01,2481.9876,studi - belum fabrikasi
RHS50x100,75,1682284,X01,2481.9876,studi - belum fabrikasi
RHS50x100,75,1690276,B01,874.0,studi - belum fabrikasi
RHS50x100,76,1682306,X01,2481.9876,studi - belum fabrikasi
RHS50x100,76,1690209,X01,2481.9876,studi - belum fabrikasi
RHS50x100,76,1690278,B01,874.0,studi - belum fabrikasi
RHS50x100,77,1690213,X01,2481.9876,studi - belum fabrikasi
RHS50x100,77,1690217,X01,2481.9876,studi - belum fabrikasi
RHS50x100,77,1690280,B01,874.0,studi - belum fabrikasi
RHS50x100,78,1690221,X01,2481.9876,studi - belum fabrikasi
RHS50x100,78,1690225,X01,2481.9876,studi - belum fabrikasi
RHS50x100,78,1690282,B01,874.0,studi - belum fabrikasi
RHS50x100,79,1694646,X06,2479.0,studi - belum fabrikasi
RHS50x100,79,1694642,X06,2475.0001,studi - belum fabrikasi
RHS50x100,79,1690284,B01,874.0,studi - belum fabrikasi
RHS50x100,80,1694669,X06,2475.0001,studi - belum fabrikasi
RHS50x100,80,1694628,X06,2443.0,studi - belum fabrikasi
RHS50x100,80,1690286,B01,874.0,studi - belum fabrikasi
RHS50x100,81,1694651,X06,2364.0001,studi - belum fabrikasi
RHS50x100,81,1694633,X06,2330.0,studi - belum fabrikasi
RHS50x100,81,1690288,B01,874.0,studi - belum fabrikasi
RHS50x100,81,1685771S0,B02,260.7,studi - belum fabrikasi
RHS50x100,82,I5-P00,I01,2285,studi - belum fabrikasi
RHS50x100,82,I5-P01,I01,2285,studi - belum fabrikasi
RHS50x100,82,1690290,B01,874.0,studi - belum fabrikasi
RHS50x100,82,1686006S0,B02,460.5879,studi - belum fabrikasi
RHS50x100,83,I5-P10,I01,2285,studi - belum fabrikasi
RHS50x100,83,I5-P11,I01,2285,studi - belum fabrikasi
RHS50x100,83,1690292,B01,874.0,studi - belum fabrikasi
