profil,stok,id,komponen,panjang_mm,status
RHS50x100,43,SC-R1-P01,I01,146.0,studi - belum fabrikasi
RHS50x100,44,1690064,X03,4849.0001,studi - belum fabrikasi
RHS50x100,44,1678463,X01,982.0059,studi - belum fabrikasi
RHS50x100,44,SC-R1-P10,I01,146.0,studi - belum fabrikasi
RHS50x100,45,1690074,X03,4849.0001,studi - belum fabrikasi
RHS50x100,45,1678475,X01,982.0059,studi - belum fabrikasi
RHS50x100,45,SC-R1-P11,I01,146.0,studi - belum fabrikasi
RHS50x100,46,1690076,X03,4849.0001,studi - belum fabrikasi
RHS50x100,46,1678487,X01,982.0059,studi - belum fabrikasi
RHS50x100,47,1690087,X03,4849.0001,studi - belum fabrikasi
RHS50x100,47,1682249,X01,982.0059,studi - belum fabrikasi
RHS50x100,48,1690100,X03,4849.0001,studi - belum fabrikasi
RHS50x100,48,1682271,X01,982.0059,studi - belum fabrikasi
RHS50x100,49,1690102,X03,4849.0001,studi - belum fabrikasi
RHS50x100,49,1682293,X01,982.0059,studi - belum fabrikasi
RHS50x100,50,1690112,X03,4849.0001,studi - belum fabrikasi
RHS50x100,50,1690197,X01,982.0059,studi - belum fabrikasi
RHS50x100,51,1690114,X03,4849.0001,studi - belum fabrikasi
RHS50x100,51,1690235,B01,922.9999,studi - belum fabrikasi
RHS50x100,51,SR-L-3-1-0,I02,166.69,studi - belum fabrikasi
RHS50x100,52,1685454,X02,4754.0,studi - belum fabrikasi
RHS50x100,52,SC-L3-BX0,X06,1160.2625,studi - belum fabrikasi
RHS50x100,53,1685460,X02,4754.0,studi - belum fabrikasi
RHS50x100,53,SC-L3-BX1,X06,1160.2625,studi - belum fabrikasi
RHS50x100,54,1685463,X02,4754.0,studi - belum fabrikasi
RHS50x100,54,SC-R3-BX0,X06,1160.2625,studi - belum fabrikasi
RHS50x100,55,1685467,X02,4754.0,studi - belum fabrikasi
RHS50x100,55,SC-R3-BX1,X06,1160.2625,studi - belum fabrikasi
RHS50x100,56,1685469,X02,4754.0,studi - belum fabrikasi
